1	hit	nohit	ratio
0.0	506.0	1247372.0	0.0004054883570349025
1.0	186.0	278211.0	0.000668110647744049
2.0	222.0	447019.0	0.0004963766738738175
3.0	332.0	286915.0	0.0011557997124426018
4.0	374.0	330572.0	0.0011300937313035964
5.0	220.0	157258.0	0.001397020536201882
6.0	334.0	224694.0	0.0014842597365661162
7.0	166.0	144682.0	0.0011460289406826467
8.0	409.0	487320.0	0.0008385804411876267
9.0	140.0	206632.0	0.000677074265374422
10.0	246.0	353886.0	0.0006946562298803836
11.0	320.0	322834.0	0.0009902399475172827
12.0	503.0	241675.0	0.0020769846972061873
13.0	279.0	169966.0	0.0016388146494757555
14.0	507.0	236869.0	0.0021358519816662173
15.0	495.0	178838.0	0.002760228178862786
16.0	2055.0	376211.0	0.0054326849359974195
17.0	811.0	140329.0	0.005746067734164659
18.0	1439.0	206505.0	0.006920132343323202
19.0	800.0	137854.0	0.00576975781441574
20.0	1369.0	175118.0	0.007756945270756486
21.0	800.0	97430.0	0.00814415148121755
22.0	711.0	77243.0	0.009120763527208354
23.0	783.0	84173.0	0.00921653561843778
24.0	1293.0	165827.0	0.007736955481091432
25.0	725.0	114330.0	0.006301334144539568
26.0	1294.0	214859.0	0.005986500303026097
27.0	1022.0	145156.0	0.006991476145521214
28.0	1417.0	151707.0	0.009253937984901126
29.0	664.0	90808.0	0.007259051950323597
30.0	740.0	96797.0	0.00758686447194398
31.0	871.0	78790.0	0.010933832113581302
32.0	1806.0	483070.0	0.003724663625339262
33.0	789.0	178511.0	0.004400446179587284
34.0	2393.0	450279.0	0.005286388378340167
35.0	934.0	154454.0	0.006010760161659845
36.0	1196.0	228226.0	0.005213100748838385
37.0	558.0	126406.0	0.004394946599035947
38.0	618.0	143915.0	0.004275840119557471
39.0	540.0	135832.0	0.003959757134895726
40.0	1037.0	308645.0	0.0033485963020130328
41.0	558.0	184069.0	0.0030223098463388345
42.0	923.0	340671.0	0.0027020380920039578
43.0	710.0	244937.0	0.0028903263626260446
44.0	1276.0	236016.0	0.005377340997589468
45.0	1020.0	230725.0	0.004401389458240739
46.0	1679.0	304036.0	0.005492043242889619
47.0	1306.0	196971.0	0.006586744806508067
48.0	1639.0	274655.0	0.005932086835038039
49.0	423.0	77074.0	0.005458275804224679
50.0	766.0	130603.0	0.0058309037900874635
51.0	2017.0	134501.0	0.014774608476537892
52.0	1019.0	187966.0	0.005391962325052253
53.0	679.0	117976.0	0.005722472715014117
54.0	771.0	139895.0	0.0054810686306570175
55.0	1034.0	123426.0	0.008307890085167925
56.0	1134.0	180259.0	0.00625161941199495
57.0	959.0	110815.0	0.008579812836616744
58.0	1594.0	249914.0	0.006337770567934221
59.0	2220.0	179639.0	0.01220725947024893
60.0	1163.0	165683.0	0.00697049974227731
61.0	949.0	108259.0	0.008689839572192513
62.0	1280.0	105163.0	0.012025215373486279
63.0	1289.0	115980.0	0.01099182222070624
64.0	918.0	379099.0	0.002415681403726675
65.0	406.0	170269.0	0.0023787900981397394
66.0	751.0	264951.0	0.0028264747724894806
67.0	571.0	143198.0	0.003971648964658584
68.0	651.0	249130.0	0.002606283103999103
69.0	277.0	66403.0	0.004154169166166767
70.0	545.0	114638.0	0.004731601017511264
71.0	179.0	64320.0	0.0027752368253771377
72.0	412.0	158311.0	0.0025957170668397143
73.0	219.0	81573.0	0.002677523474178404
74.0	611.0	219077.0	0.0027812169986526345
75.0	446.0	123443.0	0.003599996771303344
76.0	439.0	99181.0	0.004406745633406947
77.0	340.0	84691.0	0.003998541708318142
78.0	637.0	102545.0	0.006173557403423078
79.0	415.0	63009.0	0.006543264379414732
80.0	1082.0	138254.0	0.007765401619107768
81.0	843.0	99047.0	0.008439283211532686
82.0	893.0	95031.0	0.009309453317209457
83.0	508.0	56355.0	0.00893375305558975
84.0	803.0	75883.0	0.010471272461727042
85.0	566.0	43752.0	0.012771334446500294
86.0	805.0	52131.0	0.01520704246637449
87.0	376.0	32277.0	0.011515021590665482
88.0	510.0	45145.0	0.011170737049611214
89.0	578.0	53470.0	0.010694197750148017
90.0	1024.0	105786.0	0.009587117311113192
91.0	713.0	50983.0	0.013792169606932837
92.0	695.0	53824.0	0.012747849373612868
93.0	628.0	39764.0	0.015547633194692018
94.0	656.0	38938.0	0.016568166893973835
95.0	574.0	30989.0	0.018185850521179863
96.0	1060.0	139585.0	0.007536705890717765
97.0	714.0	60108.0	0.011739173325441452
98.0	1421.0	131748.0	0.010670651578069972
99.0	535.0	39619.0	0.013323703740598694
100.0	728.0	88179.0	0.008188331627430911
101.0	456.0	51884.0	0.008712265953381735
102.0	501.0	61248.0	0.008113491716465044
103.0	388.0	47316.0	0.008133489854100284
104.0	712.0	107345.0	0.006589115004118197
105.0	492.0	79988.0	0.0061133200795228625
106.0	1752.0	262024.0	0.006641999272109669
107.0	696.0	83373.0	0.008278913749420119
108.0	609.0	69486.0	0.008688208859405093
109.0	617.0	64026.0	0.009544730287888867
110.0	967.0	75128.0	0.012707799461199817
111.0	769.0	62904.0	0.012077332621362272
112.0	1012.0	134910.0	0.007445446653227586
113.0	355.0	47099.0	0.007480928899565895
114.0	512.0	72688.0	0.006994535519125683
115.0	985.0	61873.0	0.015670240860351903
116.0	1140.0	150634.0	0.007511167920724235
117.0	561.0	58431.0	0.009509764035801465
118.0	720.0	89807.0	0.007953428258972462
119.0	675.0	54138.0	0.012314596902194734
120.0	369.0	45081.0	0.008118811881188119
121.0	502.0	38964.0	0.012719809456240815
122.0	810.0	87367.0	0.00918606892953945
123.0	986.0	58395.0	0.01660463784712282
124.0	540.0	71841.0	0.007460521407551705
125.0	497.0	49742.0	0.009892712832659885
126.0	598.0	49072.0	0.012039460438896718
127.0	443.0	37787.0	0.011587758304996077
128.0	377.0	490578.0	0.0007678911509201455
129.0	183.0	178756.0	0.0010226948848490267
130.0	444.0	442746.0	0.0010018276585663033
131.0	174.0	155048.0	0.0011209751195062556
132.0	132.0	146017.0	0.0009031878425442527
133.0	77.0	57199.0	0.0013443676234373909
134.0	177.0	110992.0	0.001592170479180347
135.0	49.0	50367.0	0.0009719136781973977
136.0	262.0	305870.0	0.0008558399644597756
137.0	101.0	95314.0	0.0010585337735156946
138.0	219.0	295868.0	0.0007396474684805479
139.0	119.0	138176.0	0.0008604794099569761
140.0	186.0	100926.0	0.001839544267742701
141.0	115.0	86200.0	0.0013323292591090772
142.0	258.0	109978.0	0.002340433252295076
143.0	157.0	53734.0	0.0029132879330500453
144.0	1011.0	170286.0	0.005902029807877546
145.0	416.0	65456.0	0.006315278115132378
146.0	1129.0	128278.0	0.008724412126082824
147.0	372.0	60317.0	0.00612961162648915
148.0	743.0	85987.0	0.008566816557131327
149.0	638.0	56286.0	0.011207926357950952
150.0	550.0	51940.0	0.01047818632120404
151.0	295.0	28212.0	0.010348335496544708
152.0	531.0	64749.0	0.008134191176470589
153.0	493.0	48464.0	0.010070061482525481
154.0	954.0	127007.0	0.007455396566141246
155.0	465.0	51058.0	0.009025095588378006
156.0	606.0	60224.0	0.009962189709025153
157.0	374.0	33978.0	0.010887284583139265
158.0	514.0	44197.0	0.011496052425577599
159.0	439.0	30162.0	0.01434593640730695
160.0	1182.0	258543.0	0.004550967369332948
161.0	862.0	105712.0	0.008088276690374763
162.0	2349.0	308686.0	0.007552204735801437
163.0	587.0	78043.0	0.007465344016278774
164.0	542.0	112422.0	0.0047979887397755034
165.0	466.0	70385.0	0.0065771831025673595
166.0	525.0	103569.0	0.0050435183584068245
167.0	304.0	57440.0	0.005264616237184816
168.0	821.0	226719.0	0.003608156807594269
169.0	665.0	144840.0	0.0045702896807669835
170.0	1605.0	470560.0	0.0033992354367646904
171.0	486.0	141439.0	0.0034243438435793555
172.0	674.0	118972.0	0.005633284856994801
173.0	752.0	113666.0	0.00657239245573249
174.0	1387.0	153118.0	0.00897705575871331
175.0	856.0	81628.0	0.010377770234227243
176.0	647.0	125711.0	0.0051203722755979045
177.0	204.0	42581.0	0.004768026177398621
178.0	423.0	88915.0	0.004734827285141821
179.0	571.0	52570.0	0.010744999153196214
180.0	483.0	80583.0	0.005958108208126711
181.0	331.0	49654.0	0.006621986595978794
182.0	436.0	68832.0	0.006294392793208986
183.0	276.0	29380.0	0.009306717021850553
184.0	398.0	69732.0	0.005675174675602452
185.0	393.0	49926.0	0.007810171108328862
186.0	694.0	120860.0	0.0057093966467578194
187.0	560.0	49721.0	0.011137407768341918
188.0	325.0	50914.0	0.006342824801420793
189.0	308.0	37559.0	0.008133731217154778
190.0	459.0	42113.0	0.010781734473362774
191.0	393.0	30103.0	0.012886935991605456
192.0	1269.0	296005.0	0.004268789063288414
193.0	464.0	107936.0	0.004280442804428044
194.0	935.0	197160.0	0.00471995759610288
195.0	1291.0	120392.0	0.010609534610422163
196.0	452.0	95565.0	0.004707499713592384
197.0	314.0	53622.0	0.005821714624740433
198.0	641.0	91082.0	0.006988432563261123
199.0	245.0	47280.0	0.005155181483429774
200.0	496.0	98579.0	0.00500630835225839
201.0	369.0	61132.0	0.005999902440610722
202.0	738.0	113126.0	0.006481416426614206
203.0	771.0	73686.0	0.010354969982674564
204.0	718.0	121818.0	0.005859502513547039
205.0	915.0	84037.0	0.0107707882098126
206.0	1346.0	96841.0	0.013708535753205619
207.0	824.0	79037.0	0.010317927398855512
208.0	1232.0	94566.0	0.012860393745172134
209.0	376.0	39825.0	0.009353001169125146
210.0	759.0	56295.0	0.013303186454937428
211.0	691.0	43168.0	0.015755033174490982
212.0	857.0	60062.0	0.014067860601782695
213.0	842.0	37546.0	0.021933937688861104
214.0	842.0	32644.0	0.025144836648151467
215.0	746.0	26067.0	0.027822324991608548
216.0	905.0	35831.0	0.02463523519163763
217.0	774.0	31297.0	0.024133952792242213
218.0	1303.0	62156.0	0.020532942529822407
219.0	1165.0	37742.0	0.02994319788212918
220.0	985.0	49810.0	0.019391672408701644
221.0	564.0	31021.0	0.01785657748931455
222.0	722.0	25985.0	0.02703411090725278
223.0	769.0	30332.0	0.024725893058101026
224.0	1241.0	97919.0	0.012515127067365874
225.0	1059.0	61980.0	0.016799124351591872
226.0	1954.0	97933.0	0.019562105178852103
227.0	1084.0	46463.0	0.022798494121605988
228.0	747.0	65977.0	0.011195371980097117
229.0	574.0	39575.0	0.014296744626267155
230.0	602.0	52986.0	0.011233858326491005
231.0	513.0	44236.0	0.011463943328342533
232.0	694.0	71375.0	0.00962966046427729
233.0	479.0	56150.0	0.008458563633474015
234.0	1071.0	126101.0	0.008421665146415878
235.0	728.0	66064.0	0.010899508923224338
236.0	668.0	73137.0	0.009050877311835242
237.0	898.0	57467.0	0.015385933350466889
238.0	1088.0	60213.0	0.01774848697411135
239.0	755.0	59541.0	0.01252156030250763
240.0	2170.0	101328.0	0.0209665887263522
241.0	653.0	43346.0	0.014841246391963454
242.0	1575.0	67671.0	0.02274499610085781
243.0	3269.0	62057.0	0.05004133116982518
244.0	750.0	91899.0	0.008095068484279377
245.0	534.0	50893.0	0.010383650611546464
246.0	764.0	65759.0	0.011484749635464427
247.0	1285.0	47863.0	0.026145519654919833
248.0	704.0	48241.0	0.014383491674328328
249.0	1166.0	36982.0	0.030565167243367934
250.0	2296.0	75995.0	0.02932648708025188
251.0	2261.0	52273.0	0.04146037334506913
252.0	1671.0	71459.0	0.022849719677287023
253.0	1444.0	46245.0	0.030279519386021934
254.0	1335.0	34630.0	0.03711942165994717
255.0	1520.0	43531.0	0.033739539632860534
256.0	431.0	352353.0	0.0012217107351807338
257.0	313.0	155415.0	0.0020099147231069556
258.0	492.0	241832.0	0.002030339545402024
259.0	853.0	167313.0	0.005072368968757061
260.0	333.0	191227.0	0.0017383587387763625
261.0	165.0	58567.0	0.00280937138187019
262.0	285.0	110101.0	0.0025818491475368254
263.0	226.0	69709.0	0.0032315721741617218
264.0	327.0	190549.0	0.001713154089566001
265.0	281.0	107717.0	0.0026019000351858368
266.0	605.0	240810.0	0.002506058032848
267.0	909.0	156895.0	0.0057603102582951
268.0	284.0	101662.0	0.0027857885547250506
269.0	599.0	89658.0	0.006636604363096491
270.0	887.0	106686.0	0.00824556347782436
271.0	510.0	82861.0	0.006117235009775582
272.0	1697.0	253329.0	0.006654223490938179
273.0	544.0	71339.0	0.007567853317195999
274.0	970.0	100428.0	0.009566263634391212
275.0	1048.0	96539.0	0.010739135335649215
276.0	1033.0	73025.0	0.01394852683032218
277.0	731.0	35059.0	0.020424699636770047
278.0	824.0	40640.0	0.019872660621261817
279.0	1106.0	35183.0	0.030477555182011076
280.0	1398.0	66948.0	0.02045474497410236
281.0	1317.0	52390.0	0.024521943135904074
282.0	2221.0	111080.0	0.019602651344648326
283.0	2414.0	77238.0	0.030306834731080198
284.0	1020.0	71621.0	0.01404165691551603
285.0	814.0	43794.0	0.01824784791965567
286.0	755.0	35596.0	0.020769717476823196
287.0	909.0	38526.0	0.023050589577786232
288.0	1090.0	167139.0	0.0064792633850287405
289.0	454.0	56239.0	0.008008043321044926
290.0	979.0	130423.0	0.00745041932390679
291.0	703.0	50328.0	0.013775940114832162
292.0	590.0	82538.0	0.0070974882109517854
293.0	416.0	49031.0	0.008413048314356786
294.0	400.0	59803.0	0.006644187166752487
295.0	482.0	55731.0	0.008574529023535482
296.0	747.0	134206.0	0.005535260423999467
297.0	605.0	85352.0	0.007038402922391428
298.0	1173.0	236296.0	0.00493959211518135
299.0	900.0	116075.0	0.007693951699081001
300.0	568.0	84339.0	0.006689672229615933
301.0	1112.0	83254.0	0.01318066519688026
302.0	1073.0	86529.0	0.012248578799570786
303.0	834.0	88281.0	0.00935869382258879
304.0	1232.0	112272.0	0.010854243022272343
305.0	439.0	41424.0	0.010486587201108377
306.0	990.0	57983.0	0.016787343360520915
307.0	1648.0	49201.0	0.03240968357293162
308.0	536.0	76953.0	0.006917110815728684
309.0	530.0	51408.0	0.010204474565828488
310.0	538.0	57374.0	0.00928995717640558
311.0	1314.0	49473.0	0.025872762714867978
312.0	772.0	59390.0	0.012832020212094012
313.0	1132.0	46652.0	0.02368993805457894
314.0	2251.0	92752.0	0.023693988610885973
315.0	3090.0	79102.0	0.03759489974693401
316.0	1030.0	74307.0	0.013671900925176209
317.0	1372.0	46723.0	0.028526873895415323
318.0	1279.0	35714.0	0.03457410861514341
319.0	1037.0	32670.0	0.030765122971489603
320.0	596.0	166127.0	0.0035747917203985055
321.0	406.0	83857.0	0.004818247629445901
322.0	637.0	116061.0	0.005458533993727399
323.0	563.0	78992.0	0.007076865061906857
324.0	322.0	85287.0	0.003761286780595498
325.0	414.0	49800.0	0.00824471262994384
326.0	535.0	73075.0	0.007268034234479011
327.0	155.0	39258.0	0.0039327125567706085
328.0	253.0	63190.0	0.003987831596866479
329.0	276.0	52770.0	0.005203031331297365
330.0	446.0	93302.0	0.004757434825276272
331.0	331.0	49547.0	0.006636192309234532
332.0	288.0	52828.0	0.005422095037276903
333.0	307.0	47684.0	0.006397032776979017
334.0	578.0	59339.0	0.009646677904434468
335.0	323.0	43655.0	0.007344581381599891
336.0	874.0	93284.0	0.009282270226640328
337.0	596.0	52776.0	0.011166903994603912
338.0	712.0	63437.0	0.01109915976866358
339.0	601.0	48169.0	0.012323149477137585
340.0	1138.0	95999.0	0.011715412252797595
341.0	1153.0	60654.0	0.018654844920478263
342.0	896.0	47875.0	0.01837157327100121
343.0	931.0	47486.0	0.019228783278600493
344.0	528.0	34159.0	0.015221841035546458
345.0	768.0	43749.0	0.01725183637711436
346.0	1045.0	66579.0	0.01545309357624512
347.0	1091.0	52325.0	0.020424591882582
348.0	552.0	36822.0	0.014769625943169048
349.0	595.0	32453.0	0.01800411522633745
350.0	535.0	23026.0	0.02270701583124655
351.0	549.0	26395.0	0.020375593824228027
352.0	666.0	68706.0	0.009600415153087702
353.0	275.0	28724.0	0.009483085623642194
354.0	725.0	61571.0	0.011637986387569025
355.0	349.0	20855.0	0.01645915864931145
356.0	527.0	62729.0	0.0083312254963956
357.0	523.0	42236.0	0.012231343109053066
358.0	455.0	45149.0	0.009977194982896237
359.0	519.0	43081.0	0.011903669724770641
360.0	530.0	63916.0	0.008223939422151879
361.0	434.0	49912.0	0.008620347197394034
362.0	946.0	128162.0	0.007327198934225609
